name;year;tags;video_interval;reverse;gdrive;dropbox
60625D48-8B02-4C7A-AC7A-7E2551EBAE19_1_105_c.jpeg;2020;off-grid,containers;;;11_1KOvV-at_uJWu-XNiqBbVqLUWcMEcS;
09AEDF63-D5A5-4135-A4EA-FB5582620D00_1_105_c.jpeg;2020;off-grid,containers;;;16RnaS-wHxtpHX9gIySi5jdh8QuvhpMPF;
EE565CD6-FB89-466E-B625-DCD1F9A9DC1C_1_105_c.jpeg;2020;containers;;;1PxGBiijaxxjc7OgdhXYx3_u2ntsqhz13;
6cdef905-5484-4ecb-9938-598ab9bee62d.JPG;2020;cyberpunk,off-grid;;;1EQ7RwkazK-mySrpnvHK1DbguGC3LCGzZ;
IMG_5671.JPG;2020;extended_reality,desert;;;16x3GIe24EYTrwntXem5_p21ij8Qj_tna;
92499826-5622-4E0D-81A0-1028BC15FAA6_1_105_c.jpeg;2020;off-grid,containers;;;1PE9OEKsTQVcVWMKdPDlDKhCZN838Ovk7;
alice_speakeasy_03.17.mp4;2020;drone,cyberpunk,installation;2,10;;15Xyvh793BAyi2iE9hlG9uA32AtsnYSX0;AAAK1dwttTEIvB6xRgRBrxfVa
alice_wielding.mp4;2020;desert,electric_unicycle,cyberpunk;3,8;;1j7Acdj1K723hZchdnBgKcAwOrJiH4cAd;AACx0l0xBS07qqYIqfXDzotTa
burning_hypercube_04.11.mp4;2020;off-grid,drone,installation;2,9;;1m72iCYlyAkF38SoW4Vg1XdIv5UbLjjIe;AAA6wxQA_vG9WvvccNJJ21iza
climbing_overhead_phil_02_28.mp4;2020;drone,bouldering,desert;18,22;;1kYDSUdqFe6REOxwYlmqS9LlOFE4yljhx;AAApQ7ZgldM65sGcbBtNeYeva
dronetarp1_fast_3.09.mp4;2020;pallet_racks,carpentry,drone;10,14;;1tBwrlBgq2m8_H_PJjiyPhxp1wKzUYAHu;AAAxJMjBT2ytJ4NvHDnHeOvKa
final_euro_project_03_3.17.mp4;2020;desert;7,10;;13tHliLnMEeRifJWdR2L1CA8tZaXss2Nw;AADNG0hsiDU_OECUK3iTWBeba
flythrough_03.17_2.mp4;2020;drone,off-grid;2,8;;1SC5z6qeT4d2QP2mcPS0xSs9iSD78JGEk;AABF1F52MA993EtjfzNaOMR5a
forest_panorama_03.04.mp4;2020;pallet_racks,off-grid,drone;15,18;;1zyuwRlwcPNqY09U29lx3pCY0aqD3dpub;AAA0x8huLui9VwkE3O7Lxm_Ia
IMG_3933.mp4;2020;off-grid,pallet_racks;8,11;;1Y9nPzWO5p0y2bFBksjj8qIxmCVnuAWbm;AACOwIzi16XNcUn6N_LMxflma
IMG_4280.mp4;2020;solar,off-grid;4,8;;1g1ZJoCATCh7I3zy8a4ReLm6VjbRDdPsd;AABjywQzQXUuBYKafFr92DEta
IMG_5362.mp4;2020;off-grid;1,4;;1lLL4mVV7ULSJ3OSVmKcenX7lKtgZkKho;AADWrgyy4gPqo5_Wj-JMRXQ1a
IMG_5536.mp4;2020;extended_reality,desert;4,8;1;1YpLv63Rjm31860wLRP_sBa23ejJqnlr7;AACP_CKRi-tnvu2PdI2U3vMBa
IMG_6113.MP4;2020;extended_reality;13,17;1;1qyGniHLnbCnCkX3uMQc8cT7bc9xNVHOf;AAAqjzfeN3HhDNiq_deERBZBa
inst_the_forest_at_night.mp4;2020;pallet_racks,cyberpunk,drone;0,5;;1T01cBwWr3zcMmGFN_QbuJBppBmxbuf4a;AABVFNp6--zTy56lcCmyylR-a
long_pan_3.09.mp4;2020;drone,vanlife,off-grid,desert;17,23;;1po1dNp_hUs4Fo2hSbb6y1fDgdBuujdwx;AAA-Cvc11QFQRAN_n3NX7QoNa
making_palettes_1.07_short.mp4;2020;pallet_racks,carpentry,drone;39,44;;1XsuyWGjeTbijctyU_7nmjLhXEu-Aow4z;AADxZs29tWwYwYFcL-RGxTjha
mars_2.1.2020_1_narrow.mp4;2020;pallet_racks,off-grid,vanlife,drone;4,11;;1omjJvd_Khx_DhNjYYZx5bfPRZQ9hKjGi;AAAFC8dRNHalBG_mu2x1FTu5a
mars_tvfinal_2.12_05.mp4;2020;drone,portal;4,7;;1iNRfEtXxdfn2uplBw7K5px7irCF1noJL;AACRNmOA9DMOiL0dfZiykqTsa
mars_tvfinal_2.12_07fast.mp4;2020;drone,bouldering,off-grid;8,12;;1E0HxYRsStEEHM7TdctIdua_Fxi6GK6N8;AACrq7dCywq8o05mnPuT9IFNa
P1010346.mp4;2020;performance,pallet_racks,dance;1,6;;1afsvoj1BvLdX8ZYawzLNjQWGZZcAhZ3-;AAC1CdwDM_b5Ej8Hkl860SnJa
P1010405.mp4;2020;portal,ai,marsgan;28,33;;1C9VbRjeBlWGV6JaPaNUPEGYwvHdvb7ah;AABERxxPelFbw-c6ce3s0_ega
P1010491.mp4;2020;performance,cyberpunk;0,3;;1iTCkYJs3XbhiN8ThShzcAxBGhLzc7J7I;AAAAiAK3wJjVsn2aPWdXXvgPa
riding_with_freeman_mars_01.19_04.mp4;2020;drone,off-grid,electric_unicycle;71,77;;1oILIgVWSphKGjUXLOl5Q8I9zHxGqeMjH;AABNgNLlkhppfSO0jWAwmVCza
sophia_sofy_vs_voyager_03.04.mp4;2020;desert,installation;1,6;;1InDHbdSQqXN1g5i90cgKtgbbIX6jPUgg;AADympWLxCImtZG4IJ07edAAa
sophia.mp4;2020;performance,humans;0,4;;1uqm1Ks0YgSNZ2ztEqyQ0C3yxrxWCGlys;AABRDGj6GEZpXlTrObKYO0zZa
sunset_spin_03.05.mp4;2020;dance,drone,performance,off-grid;17,22;;1YngYckOCzyDu7eYFZWSIyT_ShY-l3EOj;AAAxa0Vb85EYkjva7G2t9C45a
yin_dancing_03.17.mp4;2020;performance,desert,dance;12,18;;12XQNNt7lAXx0a0A2h0CHYaLyl5B98iZV;AADpnFbbH4H6TfQ_mjJxaAEba
bouldering_workshop_03.04_01.mp4;2020;bouldering,fitness,workshop;0,4;;1M0da6AugyjlHAg27Ij48dk3CCZh7hJqk;AAB039ksJPRkZvpAPz_mJrNQa
bouldering_workshop_03.04_02.mp4;2020;bouldering;3,8;;14QJMAsTH9PcQKIZYr6MGqe_HIAEa2hyK;AADZgoXb8MYWJa87Sisc324Ya
bouldering_workshop_03.04_03_alsino.mp4;2020;bouldering,drone;22,27;;1BKtSYBvDOxdMeQNW0hZbU-Eo2ilktTZ7;AAAmzGBJ6QtAPqLKE6HPOnUra
bouldering_workshop_panorama_03.05.mp4;2020;bouldering,off-grid,desert,drone;38,42;;1oeVbOVoLvVfGQOpq_0WkvZ6qm6tQoSB2;AACqALSpJ6pcukekOmPH2Op_a
bouldering-wall-01.jpg;2020;bouldering,off-grid;;;1OyH92IZC05XcI_vVYobEg3BTMOUoPJFK;
bouldering-wall-03.jpg;2020;bouldering,fitness;;;1IDsokNDF5Y3tZ3OmPmij8v3LCBpGM7Jb;
IMG_4559.mp4;2020;bouldering,fitness;6,9;;1KiAKRgwDxYIwS-8GNwsbJ1JZPEfST1-5;AAC8v2wlltR9Nb3vtcAuACUta
IMG_4966.mp4;2020;bouldering;1,5;;1aZFd-_UmSyju7gJARKARMjL958IYQz2d;AACOQJ1D_9GxcX2MNwRMyHXza
IMG_5014.mp4;2020;bouldering,fitness;12,16;;1UABZrv9GI5fmmkQC2EZ8RNhYv4eQEhKA;AAC2MZXx3SOC9SUMjLgCFeEAa
IMG_5528.jpeg;2020;bouldering,off-grid;;;1VisBPvm4fLtL-qj-d2K9dQYgLwchnEts;
IMG_5540.jpeg;2020;bouldering,workshop;;;1_8W41iEv5xvl8Kaf3alzZPVXXGbFK1JQ;
IMG_5544.jpeg;2020;bouldering;;;1sz3xynJdU3RoA_bXlSiPxFQgc8nnMjNG;
IMG_5545.jpeg;2020;bouldering,fitness;;;1L3i8nbHuatlHSmzqybH8m8ib8IdEDQvi;
IMG_9104.jpeg;2020;bouldering,off-grid;;;17oo3zHCGrSt77T_2iutnpizmRmzI0wAQ;
IMG_9581.jpeg;2020;bouldering,workshop;;;1l6jSXDVhCa0ku9_VEZjhG7ogHAhHPh26;
IMG_9878.jpeg;2020;bouldering,workshop,fitness;;;1lS_bvKC0LYKQKkyiXRpNKgSFmurr0APb;
Screen Shot 2020-04-08 at 4.01.02 PM.jpeg;2020;pallet_racks,off-grid;;;1M1ZRm4GhWHx_T26XuLibm4o747XOV1Vq;
5A8FBAF6-BE2B-44AE-8FD5-8A1272A314E0.JPG;2020;carpentry;;;1fQN2XhXET9f3QU2VbGwErb-9zRf5gM4u;
11-1.jpeg;2020;carpentry,electric_unicycle;;;1BZ3uXKH209ZDZ96ZV_twDrx6RUPBJR-B;
19.jpeg;2020;carpentry,workshop;;;1CsC5IjJVZyqKrci-FfUm992QIyuMkpRT;
b6c3559a-3c32-4348-be9d-ef768ab9d107.JPG;2020;pallet_racks,desert;;;1FgEnNYwo0qZDnm0ciZ4cYX_MzEx-W0rJ;
IMG_0714.jpeg;2020;carpentry,hexayurt;;;15H5NBYkQPkpCzZA8Uzp-tAWmQnQZP4pn;
IMG_1189.jpeg;2020;carpentry,hexayurt;;;1lvhYREeZrHLJ4yi28vE2RvRSLrbcdP58;
IMG_1911.jpeg;2020;carpentry,pallet_racks;;;1remrlQSDsK6OEUGaKftfg_GbbzQOAbPm;
IMG_1917.jpeg;2020;pallet_racks;;;1s5VLl57C97UI6A3hdYzx_-68ZhgqZwZ5;
IMG_2841 2.jpeg;2020;carpentry,hexayurt;;;1tCeKLHPM1c3o7RGQNh0VIT1ixFks4K2J;
IMG_3890.mp4;2020;off-grid,desert,carpentry,pallet_racks;4,8;;1OshShRfHi7W2BX63TibirVT-vHqX7ewh;AABx79GHIvJopZNiC7EdMEnEa
IMG_4819.mp4;2020;carpentry,off-grid;5,9;;1YvmBgvNTu8niqPqzOxtIaSG06b767BEU;AADKGTLBrVZ3_eG-0msnZi8ha
IMG_4822.mp4;2020;desert,workshop;4,8;;1mmGG78FQMWkSl0X1qN-Msg-flMxFniJu;AABK-CpyPc_2JPnKY8_X8n8xa
IMG_5681.jpeg;2020;off-grid,electric_unicycle;;;1osba2_c3rWb6naSsegZ9s8Bt-4kKPWK4;
IMG_5961.jpeg;2020;carpentry,off-grid;;;1MoYDuvn8AtnUU7itkNxrJe5ra9cnw_6H;
IMG_6328.JPG;2020;carpentry,parlor,humans;;;1ffDlNAjBPArX1kPPpS1srkLkVvQglr7w;
IMG_6499.jpeg;2020;carpentry,desert,workshop,electric_unicycle;;;1yGBWpcbarcoieqs20nbAhd4JpTZeWo5J;
IMG_7463.jpeg;2020;carpentry,workshop,electric_unicycle;;;1UllKJEaVgzLyi5nKREBR1zP2Ja2alsvL;
IMG_7792.jpeg;2020;pallet_racks;;;1NW4svCP0icg-4bOCEp9h9Mf9oYSpQkT9;
IMG_8249.jpeg;2020;carpentry,pallet_racks;;;1153pMziQpFCa7-TKq1kM9AkeApD4nkQJ;
IMG_9844.jpeg;2020;carpentry,hexayurt;;;1qQJrZHhEFW7_wyaz9GTdeRh9pctPiicm;
Screen Shot 2020-04-08 at 3.59.07 PM.jpeg;2020;pallet_racks,desert;;;1d2E2TaP7gDxKQU_uHDmSYAmrM4kz127G;
Screen Shot 2020-04-08 at 3.59.15 PM.jpeg;2020;pallet_racks,off-grid;;;1s-ssRh-6wxYkhUlPnKb0U5e-AYQX0rTA;
Screen Shot 2020-04-08 at 3.59.29 PM.jpeg;2020;pallet_racks,off-grid;;;1nGrCu4i1rv7u-m7Y73Y0bQzHHGbmFEY4;
BB-photogrammetry-drone_01.png;2020;drone,cyberpunk,3drendering;;;17g8TdbNEnjmMAO4R8GE__26AVeXCLQjr;
